Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"Two  small  silver
Bowls",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-08,5000.0,0.0,Yes,Yes
"One Pilot Pen with
ink",Pen,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-08,3500.0,0.0,Yes,Yes
One silver vase,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen Mush,2002-01-09,7500.0,0.0,Yes,Yes
"One  (decoration)
folding Screen",Decoration Pieces,"Mr.  Abdul Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-15,2200.0,0.0,Yes,Yes
"One  Decoration
Piece",Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-22,2000.0,0.0,Yes,Yes
One gown,Clothes,"Mr.  Ahmed  Waqar,  Secretary
Privatization Commission",Gen Mush,2002-01-26,2500.0,0.0,Yes,Yes
"One  Coffee  Set
(07 pcs)",Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-01-28,1800.0,0.0,Yes,Yes
"Art  glass
decoration piece",Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen Mush,2002-02-01,1200.0,0.0,Yes,Yes
"One  leather  black
colour wallet",Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor  to  Finance
Minister",Gen Mush,2002-02-04,150.0,0.0,Auctioned,"Auctioned for
Rs.500/-"
"One  Pen  Stand
fitted with clock",Pen,"Mr.  Altaf  M.  Saleem,  Minster  for
Privatization",Gen Mush,2002-02-06,550.0,0.0,Auctioned,"Auctioned for
Rs.305/-"
"One  small  silver
ice cream cup",Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-02-08,1350.0,0.0,Yes,Yes
"One  piece  red
colour  Afghani
Handmade  carpet
(small size)",Carpet,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen Mush,2002-02-08,6500.0,0.0,Yes,Yes
One Insignia,,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Hand
Painting",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,600.0,0.0,Yes,Yes
"One  Vase  China
Clay",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,500.0,0.0,Yes,Yes
"One  Metallic
Plate  Embossed
Scenery",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,6000.0,0.0,Yes,Yes
"a.  Two  Wall
hangings
b.  One  small
Piano
c.  Two  small
wooden dolls",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Book
Masjid-ul-
Hassan",,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Metallic
Bowl  with
wooden stand",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Metallic
small plate",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  Tasbih  in
Wooden Box",Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"Ornament
Necklace Set (03
Pieces)",Jewellery/Accessories,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  metallic
vase",Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen Mush,2002-02-19,850.0,0.0,Yes,Yes
"One  cufflinks
Insignia on it",Jewellery/Accessories,"Minister  for Petroleum  &  Natural
Resources",Gen Mush,2002-02-19,0.0,0.0,Yes,Yes
"One  set  of
Cufflinks",Jewellery/Accessories,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization",Gen Mush,2002-02-20,0.0,0.0,Auctioned,"Auctioned
for
Rs.150/-"
a.  Statue  of Golden Dragon b. One wall painting,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister for
Finance",Gen Mush,2002-02-26,26200.0,0.0,Auctioned,"Auctioned
for
Rs.150/-"
"a.  Cotton  Bed
Spread
b. One Painting",Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-28,1800.0,0.0,Yes,Yes
"Electronic  Prayer
Time Calendar",Tech,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-28,8000.0,0.0,Yes,Yes
"Metallic  Plate
with  Insignia  of
the  Chinese
Academy  of
Sciences",Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen Mush,2002-02-28,0.0,0.0,Yes,Yes
"One  plastic  box
containing  one
carpet",Carpet,"Mr.  Usman  Aminuddin,  Minister  for
Petroleum & Natural Resources",Gen Mush,2002-03-02,13000.0,450.0,Yes,Yes
